Age,M,F
0-4,50449132,44993107
5-9,52019261,45615408
10-14,50783641,44066619
15-19,50490733,44374241
20-24,53935691,48167743
25-29,61919321,56529759
30-34,73049521,68873578
35-39,57613440,54952834
40-44,59841725,57321719
45-49,72435657,69923158
50-54,69631207,68442503
55-59,55565681,54456799
60-64,45977453,45977394
65-69,41786597,43369931
70-74,25764777,28536438
75-79,15987083,19160248
80-84,9675354,13393127
85-89,4356895,7515492
90-94,1338898,3012351
95-99,271509,882805
100+,23460,128830
