Age,M,F
0-4,11036470,10554014
5-9,11387526,10887511
10-14,11816592,11306576
15-19,11868620,11395850
20-24,12658770,12192473
25-29,13480140,12974321
30-34,12812561,12491840
35-39,11976986,11918951
40-44,11248255,11334848
45-49,11219854,11297789
50-54,11723366,11637791
55-59,12148772,12328640
60-64,11159712,11780286
65-69,9286485,10232575
70-74,7189940,8292999
75-79,4652540,5759325
80-84,3054063,3979110
85-89,1710140,2663221
90-94,788938,1515691
95-99,212451,526863
100+,20122,77967
