Age,M,F
0-4,96176985,88574276
5-9,95952807,88298712
10-14,97983122,89705223
15-19,96216080,87247394
20-24,92925178,84792522
25-29,88763284,82070020
30-34,83481312,78445217
35-39,74868542,70978221
40-44,64149324,61453718
45-49,55660427,53626132
50-54,48376887,46741023
55-59,40980480,39959871
60-64,32701942,32249124
65-69,24177155,24363323
70-74,15189829,16324961
75-79,9693730,10822064
80-84,5372014,6299437
85-89,2257556,2673012
90-94,653288,828773
95-99,140669,197236
100+,18833,33804
