Age,M,F
0-4,28983555,27433269
5-9,29161019,27638892
10-14,28315694,26783043
15-19,28301254,26813350
20-24,28048679,26836311
25-29,27095164,26433262
30-34,25300123,25210383
35-39,25007148,24930472
40-44,22723335,22767218
45-49,21201791,21445887
50-54,18741908,19307841
55-59,15727986,16601918
60-64,12364225,13459799
65-69,8511114,9641119
70-74,5071099,6529283
75-79,3170050,4427167
80-84,1811832,2904528
85-89,794012,1440903
90-94,269297,553993
95-99,64269,153936
100+,9414,26304
