Age,M,F
0-4,91973785,84600097
5-9,92006168,84548846
10-14,94728458,86609523
15-19,93462375,84610755
20-24,89928825,81914622
25-29,85378857,78768155
30-34,80284847,75225860
35-39,72301343,68387045
40-44,61985157,59223228
45-49,53769449,51621023
50-54,46715882,44907029
55-59,39417499,38158677
60-64,31556910,30872180
65-69,23455541,23414905
70-74,14858998,15845451
75-79,9468046,10459399
80-84,5202217,5986270
85-89,2204940,2562844
90-94,635273,781989
95-99,138770,188408
100+,18691,33059
